check_in,check_out,nights,display_nightly,display_subtotal,tax,total,effective_tax_rate,source
2026-05-16,2026-05-23,7,1844,12908,1518.96,14426.96,0.117676,airbnb-checkout-2026-05-16-to-2026-05-23.txt
2026-06-20,2026-06-27,7,2011.43,14080,1659.6,15739.6,0.117869,airbnb-checkout-2026-06-20-to-2026-06-27.txt
2026-07-04,2026-07-10,6,2020.33,12122,1424.64,13546.64,0.117525,airbnb-checkout-2026-07-04-to-2026-07-10.txt
2026-08-15,2026-08-22,7,2011.43,14080,1659.6,15739.6,0.117869,airbnb-checkout-2026-08-15-to-2026-08-22.txt
2026-09-05,2026-09-12,7,2011.43,14080,1659.6,15739.6,0.117869,airbnb-checkout-2026-09-05-to-2026-09-12.txt
2026-09-19,2026-09-26,7,1844,12908,1518.96,14426.96,0.117676,airbnb-checkout-2026-09-19-to-2026-09-26.txt
2026-10-24,2026-10-31,7,1844,12908,1518.96,14426.96,0.117676,airbnb-checkout-2026-10-24-to-2026-10-31.txt
2026-11-21,2026-11-28,7,1847.86,12935,1522.2,14457.2,0.117681,airbnb-checkout-2026-11-21-to-2026-11-28.txt
2026-12-05,2026-12-12,7,1844,12908,1518.96,14426.96,0.117676,airbnb-checkout-2026-12-05-to-2026-12-12.txt
2026-12-12,2026-12-19,7,1844,12908,1518.96,14426.96,0.117676,airbnb-checkout-2026-12-12-to-2026-12-19.txt
2026-12-19,2026-12-26,7,3466.57,24266,2881.92,27147.92,0.118764,airbnb-checkout-2026-12-19-to-2026-12-26.txt
